summertide,gold,6,3,combo,orb,summertide pack,false
brain freeze,diamond,20,5,final,critical strike,summertide pack,false
going overboard,diamond,18,5,final,plunder,summertide pack,false
olympian games,diamond,16,6,final,counter attack,summertide pack,false
pyrotechnics display,diamond,17,7,final,critical strike,summertide pack,false
staycation,diamond,2,19,final,protection,summertide pack,false
the great outdoors,diamond,16,10,final,crushing blow,summertide pack,false
yuletide in july,diamond,15,9,final,absorb,summertide pack,false
campfire tails,gold,10,10,final,absorb,summertide pack,false
far far getaway,gold,12,6,final,protection,summertide pack,false
midsummer dream,gold,16,3,final,curse,summertide pack,false
monster matinee,gold,15,1,final,counter attack,summertide pack,false
returning reality,gold,8,7,final,crushing blow,summertide pack,false
sandcastle siege,gold,2,15,final,protection,summertide pack,false
