adventure,gold,6,3,combo,orb,adventure pack,false
arcanomancer,diamond,16,7,final,counter attack,adventure pack,false
bear owl,diamond,14,10,final,crushing blow,adventure pack,false
draconic deity,diamond,19,7,final,critical strike,adventure pack,false
gothic horror,diamond,12,9,final,curse,adventure pack,false
loot hoarder,diamond,18,6,final,plunder,adventure pack,false
mimic,diamond,17,8,final,absorb,adventure pack,false
the party,diamond,3,19,final,protection,adventure pack,false
adopted monster,gold,11,6,final,counter attack,adventure pack,false
familiar companions,gold,3,15,final,protection,adventure pack,false
magical mayhem,gold,10,5,final,critical strike,adventure pack,false
nightmarish swarms,gold,14,5,final,curse,adventure pack,false
planar privateer,gold,19,1,final,plunder,adventure pack,false
submerged shrine,gold,9,7,final,crushing blow,adventure pack,false
