future fight,gold,7,2,combo,orb,future fight pack,false
angel of war,diamond,15,8,final,counter attack,future fight pack,false
infernal warlord,diamond,20,4,final,critical strike,future fight pack,false
future fight fantasy,diamond,16,9,final,crushing blow,future fight pack,false
perilous psychic,diamond,18,8,final,absorb,future fight pack,false
pillaging plantlife,diamond,17,7,final,plunder,future fight pack,false
satisfactory outcome,diamond,3,18,final,protection,future fight pack,false
space mariner,diamond,17,5,final,critical strike,future fight pack,false
gray wolf knight,gold,15,4,final,critical strike,future fight pack,false
guerilla pyros,gold,9,6,final,counter attack,future fight pack,false
necrobiotics,gold,16,2,final,curse,future fight pack,false
ravenous mutants,gold,8,8,final,absorb,future fight pack,false
slumbering sovereign,gold,0,17,final,protection,future fight pack,false
void hammer,gold,19,1,final,crushing blow,future fight pack,false
